,filename,suffix,nb_chars,nb_tokens,ratio_alnum,ratio_al,ratio_num,nb_occ_article
75,2875ec9dd8b441625b1850542142b9f9_summary_en,txt,786,159,0.8320610687022901,0.8193384223918575,0.01272264631043257,0
76,f54bbb4bf5f9f0d25ad6799bb0660503,pdf,11158,3419,0.7993367987094462,0.7764832407241441,0.022853557985302024,9
77,21737be5e605907437c481f7e59d2567_summary_fr,txt,533,108,0.8180112570356473,0.8180112570356473,0.0,0
78,31c5dc9c1ad2405504c3d838632408cd,pdf,19342,6962,0.7783579774583808,0.7057181263571503,0.07263985110123049,22
79,da73df88b06e0646d3509a33287953ba_summary_fr,txt,212,42,0.839622641509434,0.839622641509434,0.0,0
80,8dd75b8a1b9fcb3d6172c6dc602821e8,pdf,96000,33534,0.7868645833333333,0.7122708333333333,0.07459375,87
81,bda604bc922c0bc7e121765183c31710,pdf,9500,2813,0.8143157894736842,0.7890526315789473,0.02526315789473684,19
82,aaac3d98fbd45b27060e0aab5370da8c_summary_en,txt,214,39,0.8504672897196262,0.8504672897196262,0.0,0
83,62f68d7170121d6227cb593f89c960bc,pdf,4382,1425,0.8014605203103605,0.7560474669100867,0.04541305340027385,14
84,c4a2e68af3243bee3d6592672215ff74,pdf,18663,5071,0.8194823983282431,0.788887102823769,0.030595295504474092,21
85,bbf8b955aae90a81cdd9e6cff291ecd2_summary_fr,txt,221,49,0.8461538461538461,0.8461538461538461,0.0,0
86,5edbdb214371a0c666c474ff14d2a9ff,pdf,229851,64386,0.8017019721471736,0.7674449969763021,0.03425697517087156,473
87,f09c87a6c084c8f1ca93145b6c9c1f6a,pdf,4538,1377,0.8047598060819744,0.7774349933891582,0.027324812692816218,9
88,a619867139a455e7260ee685d62d6c43,pdf,18690,5308,0.8087747458533976,0.7904761904761904,0.018298555377207062,20
89,f327a4c3d837a2d94e7dbec4e4c12a31,pdf,31521,8821,0.8102852066876051,0.7773230544716221,0.032962152215983,30
90,21b3e66e5464f54f58cbcaa99a1072f1_summary_en,txt,223,43,0.8251121076233184,0.8251121076233184,0.0,0
91,77957f6fa8d931bef7d36f403136bbd9_summary_en,txt,710,129,0.8323943661971831,0.8323943661971831,0.0,0
92,58cd439e402fe7a2a1ede899008cc7e0_summary_fr,txt,234,50,0.8247863247863247,0.8247863247863247,0.0,0
93,fce6c8b488b7e32f29e6904bd1970aa6_summary_en,txt,233,35,0.8626609442060086,0.8626609442060086,0.0,0
94,ba7726a7ecd1f6de52eec6f830a0eab1_summary_fr,txt,219,54,0.8127853881278538,0.8127853881278538,0.0,0
95,d51f8914dd2cd3226fd3888b29fc50f8,pdf,13207,3491,0.818278185810555,0.8070720072688725,0.011206178541682441,36
96,c1db537d59c5fe226d880d024fe30a34,pdf,5138,1416,0.8096535616971584,0.7989490073958739,0.010704554301284546,0
97,4422d72dc385850c30699c534368b41b,pdf,3933,1088,0.8113399440630562,0.7813374014747012,0.030002542588354945,3
98,7289ae89243c2ad8176f358fd1793fc1_summary_fr,txt,313,60,0.8370607028753994,0.8370607028753994,0.0,0
99,b928e9ff34d630b29630eb3b2fe30c60,pdf,89852,23359,0.8200151360014246,0.790800427369452,0.029214708631972577,169
100,2e886cc981460ba41007b9f8343fc9c7_summary_fr,txt,150,32,0.84,0.84,0.0,0
101,42f2cc2ffab0e35fd3d99b52e92cd72c,pdf,40599,12281,0.8023596640311338,0.7874578191581073,0.01490184487302643,58
102,9fe2f4c47b141ca58a362a5c0a8c53cf_summary_en,txt,3533,710,0.8126238324370224,0.8049816020379281,0.007642230399094254,5
103,ed2ab474f2f7d68b41973c706694f9b9_summary_en,txt,1511,289,0.8226340172071476,0.8127068166776968,0.009927200529450696,5
104,bda604bc922c0bc7e121765183c31710_summary_fr,txt,254,56,0.8385826771653543,0.8385826771653543,0.0,0
105,b64510c3efe1bd8561209c6997218201,pdf,11800,3476,0.8038983050847458,0.7816949152542373,0.022203389830508475,34
106,cb20d0882d1f7ba73c960984ed31e553,pdf,5187,1547,0.8124156545209177,0.7941006362058993,0.018315018315018316,6
107,870502493255c73d096f219a8164844f,pdf,3988,1132,0.8071715145436309,0.7785857572718154,0.028585757271815445,10
108,6525902dc9c3bb971525a1a7786ea721_summary_en,txt,247,42,0.8461538461538461,0.8461538461538461,0.0,0
109,5eb31a81cf4a1012ad675bb8676afd92_summary_fr,txt,522,134,0.7969348659003831,0.7739463601532567,0.022988505747126436,0
110,8c0bb47c6baa135bc5fedf4ad94116e7_summary_fr,txt,824,172,0.8228155339805825,0.8228155339805825,0.0,0
111,83b02c66de23cd13ee70b840e68d925a_summary_fr,txt,1035,262,0.8067632850241546,0.7874396135265701,0.01932367149758454,0
112,be94d80a0dd8b146d92fc7a2decf6db9,pdf,21466,5648,0.8111432032050685,0.8009410230131371,0.010202180191931427,17
113,7b3a7555a7ca66d65a31ff4058ad3d25_summary_en,txt,201,38,0.8557213930348259,0.8557213930348259,0.0,0
114,5f909c5f962b5e6f610527d2469d8dfb_summary_en,txt,80,23,0.85,0.75,0.1,0
115,837ffe5759b8898b2cbbdd1e577773b8,pdf,12829,4159,0.7959310936160262,0.7696624834359654,0.0262686101800608,10
116,f267d32ad783313b476f29fb5cb5f0d9,pdf,2947,965,0.8079402782490669,0.7767220902612827,0.031218187987784186,5
117,18cff7a2174a6227d4828c495634b038,pdf,6944,1795,0.8161002304147466,0.798963133640553,0.017137096774193547,12
118,a4e3627fbdb9ff282416776fa1b30376_summary_fr,txt,653,152,0.8162327718223583,0.8162327718223583,0.0,0
119,31c5dc9c1ad2405504c3d838632408cd_summary_fr,txt,329,79,0.8024316109422492,0.7872340425531915,0.015197568389057751,0
120,d5cf336ed4b7296cc7971bcb6f7f3b09,pdf,6925,1830,0.8151624548736462,0.7852707581227437,0.029891696750902527,13
121,766b074dbe96c408b7b2a7c0510365e8,pdf,23791,6367,0.8122399226598294,0.7846664705140599,0.02757345214576941,30
122,57815ce49516c8ee5313147e789ddd98_summary_fr,txt,279,65,0.8100358422939068,0.8100358422939068,0.0,0
123,0c54806139f0628a3c1172ca6b6aad75_summary_en,txt,275,50,0.8290909090909091,0.8290909090909091,0.0,0
124,498794ad93be2a7dbd042858175d54fc_summary_fr,txt,480,101,0.8208333333333333,0.8208333333333333,0.0,0
125,8c7655e03fef9d046e504dd052c328b0_summary_en,txt,290,57,0.8310344827586207,0.8310344827586207,0.0,0
126,e9024da5c714b7668f13aeb6b27873f9,pdf,3949,1619,0.7822233476829578,0.7199290959736642,0.062294251709293494,0
127,dd178693341cf7a81e2b400fdd3c20df,pdf,3566,1227,0.804823331463825,0.7537857543466069,0.05103757711721817,8
128,de2d69fff1d0a781982b4e14dd582321_summary_fr,txt,241,52,0.8630705394190872,0.8630705394190872,0.0,0
129,9fad6115c3efe2492fdbfc07a917355c_summary_fr,txt,325,66,0.84,0.84,0.0,0
130,428c3e1ce3d57405b6b16c1391d82913,pdf,683,303,0.7789165446559297,0.6925329428989752,0.08638360175695461,3
131,6f5b71f2f110f5b0af01214e152bd6a3,pdf,65849,19401,0.8048413795198105,0.7829276071010949,0.021913772418715546,91
132,c4a2e68af3243bee3d6592672215ff74_summary_en,txt,612,129,0.8218954248366013,0.8088235294117647,0.013071895424836602,0
133,7289ae89243c2ad8176f358fd1793fc1,pdf,5436,1559,0.8094186902133922,0.7866077998528329,0.022810890360559236,1
134,12507b30c4c82bf0c68ed7730131b7dd,pdf,36107,8749,0.8325809399839367,0.8255739884232974,0.007006951560639211,0
135,18cff7a2174a6227d4828c495634b038_summary_en,txt,324,52,0.8518518518518519,0.8518518518518519,0.0,0
