,doc_id,suffix,nb_chars,nb_tokens,ratio_alnum,ratio_al,ratio_num,nb_occ_article
143,893341e90a4c86417f4d62e927548167.pdf,.pdf,9046,2264,0.786093300906478,0.7633208047755914,0.02277249613088658,22
144,67bc653c99ed9a2335c156017e34bfde_summary_en.txt,.txt,791,154,0.8255372945638433,0.8255372945638433,0.0,0
145,78199ce04a046cec1bbad1fc9bac50d6_summary_fr.txt,.txt,152,39,0.8092105263157895,0.8092105263157895,0.0,0
146,67bc653c99ed9a2335c156017e34bfde.pdf,.pdf,6920,1816,0.78121387283237,0.7482658959537573,0.032947976878612714,24
147,610b28017b5d8f296778d87377c23b9e_summary_fr.txt,.txt,542,120,0.8357933579335793,0.8357933579335793,0.0,0
148,4a590e2caa0a9a3b3bbe229f4021e16b.pdf,.pdf,3410,1097,0.7586510263929619,0.7225806451612903,0.036070381231671556,6
149,308721b4f1197f801a81c43e0b5cb02b_summary_fr.txt,.txt,500,102,0.83,0.83,0.0,0
150,206ec30cf3ae638400ae9f0b5467503c.pdf,.pdf,31529,9729,0.7712899235624345,0.7450283865647499,0.026261536997684673,0
151,f09c87a6c084c8f1ca93145b6c9c1f6a_summary_fr.txt,.txt,337,77,0.8219584569732937,0.8219584569732937,0.0,0
152,64952162505ca2e229ec7ad6638bd69b.pdf,.pdf,21311,5741,0.7702125662803248,0.7436535122706583,0.02655905400966637,23
153,37ed9b6ea52145b9b2ec782ebce4ba0b.pdf,.pdf,13612,3491,0.7939318248604172,0.7830590655304144,0.010872759330002939,36
154,69548b6abab1b44ebc1d4ffd305d357b_summary_en.txt,.txt,1035,229,0.8164251207729468,0.8164251207729468,0.0,0
155,542b3a0ae7ab0133a57370a10021c3bc.pdf,.pdf,2642,880,0.7505677517032551,0.7036336109008327,0.046934140802422405,6
156,6bd741b4a75bde8afa2ec2cf548dc713_summary_fr.txt,.txt,240,54,0.825,0.825,0.0,0
157,c4e23648787432ea45361046498d3c5b.pdf,.pdf,8655,2412,0.7727325245522819,0.750317735413056,0.022414789139225882,15
158,8dd75b8a1b9fcb3d6172c6dc602821e8.pdf,.pdf,98629,33534,0.765890356791613,0.6932849364791288,0.07260542031248415,87
159,9a7de93634097cfb667f8ba5df4c48ed.pdf,.pdf,3182,924,0.7752985543683218,0.7335009428032684,0.041797611565053426,8
160,501d7e2867b4aafadba5933fef12e8fe_summary_fr.txt,.txt,266,53,0.8233082706766918,0.8233082706766918,0.0,0
161,f993eb29b5e99330a0f60f164c017bff.pdf,.pdf,2132,899,0.7209193245778611,0.7166979362101313,0.004221388367729831,0
162,21b3e66e5464f54f58cbcaa99a1072f1.pdf,.pdf,10516,2937,0.7890833016356029,0.75038037276531,0.038702928870292884,12
163,428c3e1ce3d57405b6b16c1391d82913.pdf,.pdf,833,303,0.6386554621848739,0.5678271308523409,0.07082833133253301,3
164,c973915fcca2ada3cb498a8d03ea2d17_summary_fr.txt,.txt,359,79,0.8272980501392758,0.8245125348189415,0.002785515320334262,0
165,64353226b6e3a5df8a0f08635b04432c_summary_en.txt,.txt,616,142,0.8133116883116883,0.7954545454545454,0.017857142857142856,0
166,2285c9cb19fd191b424845ff7b1eb9df.pdf,.pdf,9075,2499,0.797465564738292,0.7723415977961432,0.02512396694214876,10
167,ba7726a7ecd1f6de52eec6f830a0eab1.pdf,.pdf,17167,5025,0.7787615774450981,0.7488786625502417,0.02988291489485641,54
168,8e6d55a06156ff2bb822304fa311439f_summary_en.txt,.txt,700,176,0.82,0.7771428571428571,0.04285714285714286,0
169,42f2cc2ffab0e35fd3d99b52e92cd72c.pdf,.pdf,43055,12281,0.7565904076181628,0.7425386134014632,0.014051794216699571,58
170,953c56c8a1d7f9d5b710111038aa7d3c_summary_fr.txt,.txt,280,65,0.825,0.825,0.0,0
171,6e06dffe27d2319a0f5c773813e42c4a.pdf,.pdf,11555,3319,0.7790566854175681,0.7512765036780614,0.027780181739506707,50
172,b6bd1df0d361af11f59b83c8f0343894_summary_fr.txt,.txt,118,33,0.8050847457627118,0.8050847457627118,0.0,0
173,12507b30c4c82bf0c68ed7730131b7dd_summary_en.txt,.txt,200,47,0.83,0.79,0.04,0
174,634ee62308d05acd90863f7e6893d6a1_summary_en.txt,.txt,215,39,0.8465116279069768,0.8465116279069768,0.0,0
175,724f4a757f4d6415f3ff76e56190b0a7.pdf,.pdf,2705,740,0.767467652495379,0.7408502772643253,0.026617375231053605,0
176,058b3d57777afcde21a68d08080df6ee_summary_fr.txt,.txt,738,193,0.8170731707317073,0.7764227642276422,0.04065040650406504,0
177,32f5618496692a491d692ff60dd08b33_summary_fr.txt,.txt,258,67,0.8062015503875969,0.8062015503875969,0.0,0
178,a9fa91b8f68f0826aa1d4b545e55724f_summary_fr.txt,.txt,1214,337,0.7965403624382208,0.7660626029654036,0.030477759472817133,0
179,6c2988342387dec3013bab4c31f4f9d1_summary_en.txt,.txt,178,37,0.8258426966292135,0.8258426966292135,0.0,0
180,3be1ad6df310141616ba780f297e25b7.pdf,.pdf,32438,8287,0.7834946667488748,0.7609901966829028,0.022504470065972008,60
181,f4a7ff2c466384af253f208432afafc7_summary_en.txt,.txt,675,134,0.8192592592592592,0.8192592592592592,0.0,0
182,430800357324de827d432d855e57c9c0_summary_en.txt,.txt,617,129,0.8379254457050244,0.8184764991896273,0.019448946515397084,0
183,19452b43d0a0f135fa9ee3df023a8cec.pdf,.pdf,10088,2733,0.7786478984932593,0.764274385408406,0.01437351308485329,10
184,3d4e0087ca5a0e685348ae052c18239d_summary_fr.txt,.txt,244,56,0.8155737704918032,0.8155737704918032,0.0,0
185,8a42755018b489af27b83d5d700606ed_summary_en.txt,.txt,315,63,0.8222222222222222,0.8222222222222222,0.0,0
186,206ec30cf3ae638400ae9f0b5467503c_summary_fr.txt,.txt,523,110,0.8317399617590823,0.8317399617590823,0.0,0
187,6c2988342387dec3013bab4c31f4f9d1.pdf,.pdf,6426,1629,0.7777777777777778,0.7659508247743542,0.011826953003423592,8
188,7e02607fb3c4550a3c29eeaa830e5b05.pdf,.pdf,24032,7504,0.7621088548601864,0.6933255659121171,0.06878328894806925,37
189,be94d80a0dd8b146d92fc7a2decf6db9_summary_en.txt,.txt,468,84,0.8354700854700855,0.8354700854700855,0.0,0
190,3d37ee43014d5f375f9e25746b4568c2.pdf,.pdf,20153,5000,0.787624671264824,0.7652954895052846,0.02232918175953952,28
191,dc1ee3cfe8a82a9adbd4db0481b6f4cb.pdf,.pdf,11601,2788,0.76820963710025,0.7517455391776571,0.01646409792259288,7
192,65719d05bc7236e7ae315c7eab6c2280.pdf,.pdf,7966,1908,0.7847100175746925,0.7692693949284459,0.015440622646246549,17
193,46a313db6279d7bba0e1413f197d59fa_summary_fr.txt,.txt,263,51,0.8326996197718631,0.8326996197718631,0.0,0
194,6bd741b4a75bde8afa2ec2cf548dc713.pdf,.pdf,8036,2286,0.7643106022896964,0.75311100049776,0.011199601791936287,1
195,c395098dee071ebea47a8db44dfb2c2d_summary_fr.txt,.txt,605,138,0.8181818181818182,0.8115702479338843,0.006611570247933884,0
196,1392eef3faa8f83e8df65299f328427f_summary_fr.txt,.txt,418,104,0.8110047846889952,0.8086124401913876,0.0023923444976076554,0
197,ddf93d3260dc0a4cee68b612a8a3ad02.pdf,.pdf,16701,4475,0.7712113047122927,0.749895215855338,0.021316088856954674,12
198,8b85701a4da5515544e064a65417bce2_summary_en.txt,.txt,549,97,0.8287795992714025,0.8287795992714025,0.0,0
199,7a2993c943fc2368597f5aa408de8193_summary_fr.txt,.txt,720,165,0.8222222222222222,0.8111111111111111,0.011111111111111112,0
200,21c2093077fc2745d3659973617e82c3_summary_fr.txt,.txt,405,82,0.837037037037037,0.837037037037037,0.0,0
201,05978b467e82ef92032e5a532c8d641a_summary_en.txt,.txt,1018,223,0.8172888015717092,0.7956777996070727,0.021611001964636542,0
202,4568b2f1a787e3ea2a23fb323bb71d10.pdf,.pdf,6623,1605,0.7772912577381851,0.7679299411142987,0.009361316623886456,0
203,cce72c6f171055b2a36453bc12b9dbf5.pdf,.pdf,4266,1226,0.7782466010314112,0.7508204406938584,0.027426160337552744,3
204,f9cdd79bc61140ed6bc03380c522719d.pdf,.pdf,39576,11653,0.7819385486153224,0.7499494643218112,0.031989084293511216,31
205,1527b4f47dc8c40054fc7e6fa6ae69bc_summary_fr.txt,.txt,199,42,0.8391959798994975,0.8391959798994975,0.0,0
206,fc7c6d9f06951be96f7f81df26259a37_summary_en.txt,.txt,396,73,0.8358585858585859,0.8358585858585859,0.0,0
207,b5cd04c2811f540025c51a92d9f88b97.pdf,.pdf,4522,1218,0.7675807164971251,0.7439186200796107,0.023662096417514374,11
208,766b074dbe96c408b7b2a7c0510365e8_summary_en.txt,.txt,443,108,0.8036117381489842,0.7787810383747178,0.024830699774266364,0
209,cc5892c4733132d53bdd76e1c33aed12_summary_fr.txt,.txt,360,72,0.8361111111111111,0.8361111111111111,0.0,0
210,6c2988342387dec3013bab4c31f4f9d1_summary_fr.txt,.txt,200,41,0.835,0.835,0.0,0
211,b8a0dfbd02300d8aec58cd0b530030e6.pdf,.pdf,77254,23814,0.7730344059854506,0.7023843425583142,0.07065006342713646,108
212,9fe2f4c47b141ca58a362a5c0a8c53cf.pdf,.pdf,20400,5570,0.7772058823529412,0.7392647058823529,0.037941176470588235,52
213,55a742c66d5e6e7f49f7ab76d279dd76_summary_en.txt,.txt,157,34,0.8471337579617835,0.8471337579617835,0.0,0
214,610b28017b5d8f296778d87377c23b9e.pdf,.pdf,12055,2760,0.8173372044794691,0.8105350476980506,0.006802156781418499,0
215,f505f7570f6a13967247e7e8911fea95.pdf,.pdf,9508,2395,0.7182372738746319,0.6984644509886412,0.019772822885990745,3
216,811ea219f422780d4365a5eea26e6bd1.pdf,.pdf,33692,9637,0.7799180814436661,0.7507420159088211,0.02917606553484507,82
217,542b3a0ae7ab0133a57370a10021c3bc_summary_fr.txt,.txt,197,47,0.8121827411167513,0.8121827411167513,0.0,0
218,1c37ce3d8aef4359254e24f1f7990cbf.pdf,.pdf,1727,604,0.7203242617255357,0.65836711059641,0.06195715112912565,3
219,5f909c5f962b5e6f610527d2469d8dfb.pdf,.pdf,24129,5680,0.8111401218450827,0.7931534667827096,0.01798665506237308,0
